               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099493,            0.075699,            0.024139,             0.46003,             0.40802,                0.35,             0.11859,            0.074228,            0.054873,            0.015725,             0.00111,             0.00111,             0.09001
                   1,            0.069769,             0.06775,             0.01349,             0.45871,             0.45298,             0.41983,             0.15684,            0.062534,            0.046587,             0.00817,            0.002219,            0.002219,            0.079919
                   2,            0.064305,            0.064805,           0.0085508,             0.49673,             0.45697,             0.44359,              0.1725,            0.058043,            0.046222,           0.0066357,           0.0032844,           0.0032844,            0.069784
                   3,            0.060409,            0.066627,           0.0076443,             0.59982,             0.56897,             0.57588,             0.25502,            0.052533,            0.047451,           0.0061001,           0.0042751,           0.0042751,            0.059575
                   4,            0.059954,             0.06468,           0.0071942,             0.60457,             0.55531,             0.57861,             0.25505,             0.05566,            0.046284,           0.0058744,            0.005163,            0.005163,            0.049263
                   5,            0.057461,            0.064605,           0.0069106,             0.63309,             0.58806,             0.62106,             0.28333,            0.051925,            0.047024,           0.0059031,           0.0059239,           0.0059239,            0.038824
                   6,            0.054633,            0.064796,           0.0066814,             0.65349,             0.58451,              0.6185,             0.30401,            0.049809,            0.046734,           0.0057335,           0.0065389,           0.0065389,            0.028239
                   7,            0.054942,            0.065183,           0.0062905,             0.69832,             0.58965,             0.62971,             0.28069,            0.051003,             0.04729,           0.0059237,           0.0069953,           0.0069953,            0.017495
                   8,            0.053266,            0.063172,           0.0063462,             0.73054,             0.58914,             0.64231,               0.317,            0.049105,            0.048036,           0.0058837,           0.0072361,           0.0072361,           0.0072361
                   9,            0.051425,            0.065023,            0.006295,             0.68826,             0.59122,             0.63453,             0.31157,            0.048054,            0.049386,           0.0062715,           0.0072361,           0.0072361,           0.0072361
                  10,            0.049809,            0.066816,           0.0058447,             0.69674,             0.62365,             0.65282,             0.33357,            0.046749,            0.048762,           0.0056576,           0.0066257,           0.0066257,           0.0066257
                  11,            0.048308,             0.06438,           0.0056253,             0.71085,             0.62321,             0.66197,             0.33547,            0.046786,            0.048572,            0.005522,               0.006,               0.006,               0.006
                  12,            0.047606,            0.064658,           0.0054672,             0.73422,             0.61112,             0.65407,             0.33754,            0.046252,            0.048591,           0.0055181,           0.0053743,           0.0053743,           0.0053743
                  13,            0.046403,            0.063039,           0.0050113,              0.7144,             0.61583,             0.66136,             0.34494,            0.045636,            0.048469,           0.0053929,           0.0047639,           0.0047639,           0.0047639
                  14,            0.045562,            0.062322,           0.0048043,             0.74564,             0.60523,             0.65947,             0.34419,            0.045638,            0.048415,           0.0054557,            0.004184,            0.004184,            0.004184
                  15,            0.044917,            0.062334,           0.0046151,             0.73647,             0.62926,             0.67006,             0.35647,            0.045006,            0.048049,           0.0054648,           0.0036489,           0.0036489,           0.0036489
                  16,            0.043787,             0.05926,           0.0045793,             0.73358,             0.62723,             0.67029,             0.35696,            0.045375,            0.048159,           0.0052701,           0.0031716,           0.0031716,           0.0031716
                  17,              0.0436,            0.059609,           0.0043984,              0.7572,             0.61006,             0.67691,             0.36822,            0.044442,            0.048619,           0.0054026,           0.0027639,           0.0027639,           0.0027639
                  18,            0.043746,            0.060742,           0.0044077,             0.73947,             0.62772,             0.67466,             0.36487,            0.044587,            0.048774,           0.0054383,            0.002436,            0.002436,            0.002436
                  19,            0.043275,            0.059046,            0.004394,             0.72551,             0.63549,             0.67286,             0.36477,            0.044721,             0.04888,            0.005526,           0.0021958,           0.0021958,           0.0021958
